,Label,WORD,feature_log_prob_ when fake,feature_log_prob_ when true
0,0,trump,-3.508983794954222,-3.8678735874700827
1,0,video,-3.879946646330625,-9.33487831953627
2,0,after,-5.280085252561856,-5.390872268255073
3,0,watch,-5.3051806724144015,-8.971972825846901
4,0,just,-5.4223285857884,-9.16302806260961
5,0,president,-5.4266235100712805,-6.118505624886187
6,0,obama,-5.491831791555374,-7.532756063272668
7,0,you,-5.733133075661035,-9.33487831953627
8,0,news,-5.779003529727133,-7.72544040710217
9,0,over,-5.7975416507260435,-5.401827946916048
10,0,out,-5.8356818667455705,-6.844776852871165
11,0,him,-5.86638603308955,-8.137175128223928
12,0,white,-6.012403581208531,-5.861360276294488
13,0,media,-6.059905915193535,-6.892531284167065
14,0,new,-6.079006086566954,-5.594236930863744
15,0,her,-6.1298645038004445,-8.740171211789576
16,0,up,-6.153325990479443,-6.590014145311343
17,0,hillary,-6.1562977608686005,-9.542517684314515
18,0,will,-6.1562977608686005,-5.758328050396253
19,0,cnn,-6.171290545454742,-8.496549129131827
20,0,tweets,-6.249823818879424,-8.775262531600847
21,0,breaking,-6.266298656082929,-9.91024246443983
22,0,what,-6.2830494665077445,-7.917812299749626
23,0,house,-6.303527997851285,-5.259461767199688
24,0,fake,-6.313926705072183,-8.740171211789576
25,0,gop,-6.317417110011952,-11.414319861216105
26,0,why,-6.335054251498059,-9.622560391988051
27,0,gets,-6.345787807141168,-8.118482995211776
28,0,how,-6.356637823165233,-8.137175128223928
29,0,russia,-6.356637823165233,-5.311761266602537
30,0,us,-6.378697541229966,-9.16302806260961
31,0,down,-6.386160262431555,-7.618830672043911
32,0,against,-6.3899126120501055,-6.207569688193559
33,0,liberal,-6.447955981700021,-10.028025500096215
34,0,she,-6.455956024367097,-9.16302806260961
35,0,anti,-6.468077384899442,-6.9541754472782715
36,0,during,-6.496945368900294,-7.81700760062766
37,0,donald,-6.50113824716033,-9.11173476822206
38,0,calls,-6.513823406687646,-6.287384111423689
39,0,black,-6.575246219314052,-8.971972825846901
40,0,twitter,-6.588913858042716,-7.1238604200677145
41,0,says,-6.598130513147639,-4.298331643655513
42,0,muslim,-6.631074668866994,-8.23626603086816
43,0,when,-6.631074668866994,-8.971972825846901
44,0,clinton,-6.635870841130487,-8.23626603086816
45,0,people,-6.640690127566436,-7.630130227297844
46,0,details,-6.645532752042223,-8.706269660113895
47,0,back,-6.650398941693396,-7.103520735830592
48,0,bill,-6.655288926987589,-5.939950550887709
49,0,fbi,-6.6602029417900175,-7.3452931069782945
50,0,senator,-6.670104012772729,-6.819200011081516
51,0,america,-6.680104096107312,-8.641731138976324
52,0,russian,-6.690205192093816,-6.302332072859563
53,0,their,-6.695294261601288,-8.811630175771722
54,0,democrats,-6.695294261601288,-6.860442969615565
55,0,fox,-6.715913548804023,-9.062944604052628
56,0,off,-6.731661905772162,-7.3452931069782945
57,0,democrat,-6.731661905772162,-7.630130227297844
58,0,can,-6.731661905772162,-7.362534913412801
59,0,comey,-6.763922767990383,-7.48249422849178
60,0,goes,-6.802924925793653,-9.16302806260961
61,0,wow,-6.802924925793653,-12.10746704177605
62,0,if,-6.820117326334025,-6.903460354699256
63,0,them,-6.820117326334025,-9.39941684067384
64,0,no,-6.825914444018352,-6.235349252300635
65,0,all,-6.831745364329144,-7.664815785285734
66,0,first,-6.843510205908731,-6.849971669748269
67,0,into,-6.843510205908731,-7.117034454997315
68,0,speech,-6.849444941428546,-7.7007477945117975
69,0,former,-6.861421132475261,-6.824263313038062
70,0,make,-6.879658720025042,-7.641558923121467
71,1,trump,-3.508983794954222,-3.8678735874700827
72,1,says,-6.598130513147639,-4.298331643655513
73,1,house,-6.303527997851285,-5.259461767199688
74,1,russia,-6.356637823165233,-5.311761266602537
75,1,korea,-7.554568313035206,-5.345894272971996
76,1,north,-7.696742801815749,-5.364586405984148
77,1,after,-5.280085252561856,-5.390872268255073
78,1,over,-5.7975416507260435,-5.401827946916048
79,1,china,-8.53942171634666,-5.570775444184746
80,1,new,-6.079006086566954,-5.594236930863744
81,1,will,-6.1562977608686005,-5.758328050396253
82,1,senate,-7.462549414314955,-5.758328050396253
83,1,tax,-7.554568313035206,-5.788498928029616
84,1,eu,-10.027498771776491,-5.792109040253716
85,1,state,-6.982976334053069,-5.853638230200578
86,1,white,-6.012403581208531,-5.861360276294488
87,1,court,-7.591382286157923,-5.890860940691186
88,1,talks,-9.488502271043805,-5.908988325283743
89,1,may,-7.830274194440272,-5.917151635922903
90,1,bill,-6.655288926987589,-5.939950550887709
91,1,iran,-8.928886483108382,-5.971902150694312
92,1,deal,-7.879064358609704,-5.971902150694312
93,1,pm,-9.575513648033434,-5.995999702273372
94,1,minister,-8.677572054827476,-6.013897271730915
95,1,vote,-7.6693438276276344,-6.0252481313996045
96,1,election,-6.929983803912558,-6.03904145353194
97,1,syria,-7.862535056658493,-6.060094862729773
98,1,brexit,-11.973408920831805,-6.074380819977249
99,1,south,-9.776184343495585,-6.091309882077697
100,1,president,-5.4266235100712805,-6.118505624886187
101,1,police,-7.484772551099665,-6.138759481790685
102,1,government,-7.895871476926085,-6.156824489188324
103,1,leader,-7.814525837472133,-6.188573187502905
104,1,turkey,-9.893967379151968,-6.191264979168616
105,1,against,-6.3899126120501055,-6.207569688193559
106,1,no,-6.825914444018352,-6.235349252300635
107,1,uk,-9.08303716293564,-6.2581422618291915
108,1,calls,-6.513823406687646,-6.287384111423689
109,1,republican,-6.904504718611573,-6.29632604879935
110,1,russian,-6.690205192093816,-6.302332072859563
111,1,chief,-7.98442487426753,-6.311409291010679
112,1,probe,-8.284529466717869,-6.3236418594463135
113,1,official,-8.003117007279682,-6.377367258802477
114,1,factbox,-11.973408920831805,-6.397040024401181
115,1,sanctions,-9.670823827837758,-6.40368456711985
116,1,military,-8.081588622721178,-6.410373555270646
117,1,nuclear,-8.36249100818758,-6.430713239507769
118,1,ban,-7.121378656912188,-6.444506561640105
119,1,saudi,-8.837914704902655,-6.444506561640105
120,1,myanmar,-11.973408920831805,-6.458492803614845
121,1,more,-6.929983803912558,-6.462020144132813
122,1,party,-7.358288403990545,-6.479845928085414
123,1,congress,-7.603961068364783,-6.520218383375801
124,1,plan,-7.7837541788053795,-6.520218383375801
125,1,opposition,-10.874796632163696,-6.542946634453357
126,1,security,-7.591382286157923,-6.582014102644267
127,1,german,-10.027498771776491,-6.582014102644267
128,1,healthcare,-7.642675580545474,-6.586006123913805
129,1,up,-6.153325990479443,-6.590014145311343
130,1,attack,-7.003595621255804,-6.602135505843688
131,1,putin,-7.542592121988491,-6.635196368104576
132,1,urges,-10.874796632163696,-6.639406900640919
133,1,britain,-9.488502271043805,-6.64363523675044
134,1,ex,-8.715312382810323,-6.64363523675044
135,1,border,-7.6296034989781205,-6.647881527631892
136,1,tillerson,-9.200820198592023,-6.647881527631892
137,1,foreign,-8.061385915403658,-6.656428588210351
138,1,islamic,-8.309847274702157,-6.669387732852855
139,1,two,-7.6296034989781205,-6.673745038221811
140,1,japan,-9.776184343495585,-6.682517024294648
141,1,top,-7.451620343782764,-6.695820989921011
142,1,sources,-9.200820198592023,-6.700295270315932
143,1,syrian,-8.715312382810323,-6.713839495423689
144,1,travel,-8.166746431061485,-6.71839531195955
145,1,germany,-8.60611309084533,-6.71839531195955
146,1,france,-9.265358719729594,-6.755608908299984
147,1,iraq,-9.265358719729594,-6.76513278981124
148,1,republicans,-6.8920045558473415,-6.774748248510682
149,1,crisis,-9.776184343495585,-6.794261062734264
150,1,say,-7.566689673567551,-6.794261062734264
151,1,law,-7.542592121988491,-6.794261062734264
152,1,senator,-6.670104012772729,-6.819200011081516
